<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20250331,162500,1.07927,1.07945,1.07891,1.07941,0,0
EURUSD,5,20250331,163000,1.07949,1.07978,1.07931,1.07964,0,0
EURUSD,5,20250331,163500,1.07959,1.08002,1.07938,1.07959,0,0
EURUSD,5,20250331,164000,1.07958,1.07958,1.07875,1.07886,0,0
EURUSD,5,20250331,164500,1.07878,1.07879,1.07843,1.07868,0,0
EURUSD,5,20250331,165000,1.07883,1.08029,1.07873,1.07987,0,0
EURUSD,5,20250331,165500,1.07989,1.08057,1.07932,1.08019,0,0
EURUSD,5,20250331,170000,1.08027,1.08037,1.07996,1.07996,0,0
EURUSD,5,20250331,170500,1.07996,1.08048,1.07928,1.07928,0,0
EURUSD,5,20250331,171000,1.07917,1.08162,1.07908,1.08109,0,0
EURUSD,5,20250331,171500,1.08117,1.08128,1.08049,1.0806,0,0
EURUSD,5,20250331,172000,1.08055,1.0811,1.0805,1.08084,0,0
EURUSD,5,20250331,172500,1.08084,1.08134,1.08069,1.081,0,0
EURUSD,5,20250331,173000,1.08108,1.08127,1.08052,1.08065,0,0
EURUSD,5,20250331,173500,1.08065,1.08065,1.07981,1.08033,0,0
EURUSD,5,20250331,174000,1.08032,1.08041,1.08,1.08013,0,0
EURUSD,5,20250331,174500,1.08012,1.08035,1.07987,1.08019,0,0
EURUSD,5,20250331,175000,1.08012,1.08058,1.08012,1.08034,0,0
EURUSD,5,20250331,175500,1.08022,1.0803,1.07925,1.07944,0,0
EURUSD,5,20250331,180000,1.07955,1.07987,1.07929,1.07987,0,0
EURUSD,5,20250331,180500,1.07984,1.07997,1.07957,1.07982,0,0
EURUSD,5,20250331,181000,1.07987,1.07997,1.07969,1.0797,0,0
EURUSD,5,20250331,181500,1.07967,1.08014,1.07967,1.08004,0,0
EURUSD,5,20250331,182000,1.07998,1.08005,1.07959,1.07981,0,0
EURUSD,5,20250331,182500,1.07964,1.08003,1.07861,1.08003,0,0
EURUSD,5,20250331,183000,1.07996,1.08024,1.0798,1.08023,0,0
EURUSD,5,20250331,183500,1.08029,1.08084,1.08029,1.08073,0,0
EURUSD,5,20250331,184000,1.08073,1.08123,1.08073,1.08103,0,0
EURUSD,5,20250331,184500,1.08103,1.08161,1.08103,1.08148,0,0
EURUSD,5,20250331,185000,1.08149,1.08158,1.08113,1.08132,0,0
EURUSD,5,20250331,185500,1.08133,1.08145,1.08108,1.08119,0,0
EURUSD,5,20250331,190000,1.08123,1.08141,1.08118,1.08123,0,0
EURUSD,5,20250331,190500,1.08124,1.08124,1.08092,1.08092,0,0
EURUSD,5,20250331,191000,1.08083,1.08152,1.08082,1.08136,0,0
EURUSD,5,20250331,191500,1.08135,1.08149,1.08117,1.08118,0,0
EURUSD,5,20250331,192000,1.08118,1.08163,1.08118,1.08148,0,0
EURUSD,5,20250331,192500,1.08154,1.08161,1.08124,1.08155,0,0
EURUSD,5,20250331,193000,1.08161,1.08164,1.08148,1.08152,0,0
EURUSD,5,20250331,193500,1.08151,1.08151,1.08122,1.08137,0,0
EURUSD,5,20250331,194000,1.08137,1.08163,1.08137,1.08154,0,0
EURUSD,5,20250331,194500,1.08159,1.0816,1.08128,1.08149,0,0
EURUSD,5,20250331,195000,1.08164,1.08173,1.08153,1.08162,0,0
EURUSD,5,20250331,195500,1.08163,1.08177,1.08153,1.08154,0,0
EURUSD,5,20250331,200000,1.08148,1.0816,1.08118,1.08118,0,0
EURUSD,5,20250331,200500,1.08119,1.0812,1.08083,1.08092,0,0
EURUSD,5,20250331,201000,1.0809,1.08114,1.08078,1.08114,0,0
EURUSD,5,20250331,201500,1.08113,1.08124,1.08101,1.08103,0,0
EURUSD,5,20250331,202000,1.08101,1.08123,1.08092,1.08112,0,0
EURUSD,5,20250331,202500,1.08112,1.08123,1.08084,1.08123,0,0
EURUSD,5,20250331,203000,1.08126,1.08153,1.08117,1.08153,0,0
EURUSD,5,20250331,203500,1.08153,1.08163,1.08137,1.08148,0,0
EURUSD,5,20250331,204000,1.08148,1.08164,1.08148,1.08151,0,0
EURUSD,5,20250331,204500,1.08146,1.08177,1.08138,1.08172,0,0
EURUSD,5,20250331,205000,1.08172,1.08179,1.0816,1.0817,0,0
EURUSD,5,20250331,205500,1.0817,1.0817,1.08135,1.08155,0,0
EURUSD,5,20250331,210000,1.0815,1.0815,1.08127,1.0814,0,0
EURUSD,5,20250331,210500,1.08138,1.08154,1.08134,1.08136,0,0
EURUSD,5,20250331,211000,1.08136,1.08155,1.08136,1.08147,0,0
EURUSD,5,20250331,211500,1.08146,1.08165,1.08144,1.08165,0,0
EURUSD,5,20250331,212000,1.08162,1.08171,1.08154,1.08158,0,0
EURUSD,5,20250331,212500,1.08155,1.08156,1.0812,1.08153,0,0
EURUSD,5,20250331,213000,1.08153,1.08165,1.0814,1.08145,0,0
EURUSD,5,20250331,213500,1.08152,1.08175,1.08152,1.08175,0,0
EURUSD,5,20250331,214000,1.08166,1.08175,1.08154,1.08169,0,0
EURUSD,5,20250331,214500,1.08168,1.08187,1.08166,1.08181,0,0
EURUSD,5,20250331,215000,1.08186,1.08199,1.08181,1.08185,0,0
EURUSD,5,20250331,215500,1.08187,1.08196,1.08137,1.08145,0,0
EURUSD,5,20250331,220000,1.08139,1.0815,1.08099,1.0815,0,0
EURUSD,5,20250331,220500,1.0815,1.08172,1.0815,1.0817,0,0
EURUSD,5,20250331,221000,1.08169,1.08189,1.08167,1.0818,0,0
EURUSD,5,20250331,221500,1.0818,1.0818,1.08161,1.08164,0,0
EURUSD,5,20250331,222000,1.08169,1.0817,1.08155,1.08162,0,0
EURUSD,5,20250331,222500,1.08162,1.08182,1.0816,1.08172,0,0
EURUSD,5,20250331,223000,1.0817,1.08174,1.08163,1.08163,0,0
EURUSD,5,20250331,223500,1.08169,1.08169,1.08158,1.08159,0,0
EURUSD,5,20250331,224000,1.08159,1.08164,1.08158,1.08163,0,0
EURUSD,5,20250331,224500,1.08167,1.08171,1.08159,1.08165,0,0
EURUSD,5,20250331,225000,1.08166,1.08174,1.08166,1.08174,0,0
EURUSD,5,20250331,225500,1.08173,1.08174,1.0815,1.08153,0,0
EURUSD,5,20250331,230000,1.08174,1.08194,1.08174,1.08185,0,0
EURUSD,5,20250331,230500,1.08185,1.08191,1.08179,1.08183,0,0
EURUSD,5,20250331,231000,1.08183,1.08204,1.08183,1.08194,0,0
EURUSD,5,20250331,231500,1.08192,1.08192,1.08177,1.08187,0,0
EURUSD,5,20250331,232000,1.08187,1.0819,1.0818,1.08187,0,0
EURUSD,5,20250331,232500,1.08186,1.08191,1.08186,1.08188,0,0
EURUSD,5,20250331,233000,1.08186,1.08192,1.08173,1.08188,0,0
EURUSD,5,20250331,233500,1.08188,1.08193,1.08187,1.08188,0,0
EURUSD,5,20250331,234000,1.08189,1.0819,1.08186,1.0819,0,0
EURUSD,5,20250331,234500,1.0819,1.0819,1.08188,1.08189,0,0
EURUSD,5,20250331,235000,1.08193,1.08194,1.08184,1.08185,0,0
EURUSD,5,20250331,235500,1.08185,1.08193,1.08185,1.08192,0,0
EURUSD,5,20250401,000000,1.08198,1.082,1.08167,1.08175,0,0
EURUSD,5,20250401,000500,1.08175,1.08187,1.08174,1.08183,0,0
EURUSD,5,20250401,001000,1.08183,1.08186,1.08169,1.08173,0,0
EURUSD,5,20250401,001500,1.08174,1.0818,1.08167,1.08168,0,0
EURUSD,5,20250401,002000,1.08168,1.08186,1.08168,1.08173,0,0
EURUSD,5,20250401,002500,1.08172,1.08172,1.08165,1.08171,0,0
EURUSD,5,20250401,003000,1.0817,1.08171,1.08163,1.08164,0,0
EURUSD,5,20250401,003500,1.08163,1.08167,1.08163,1.08165,0,0
EURUSD,5,20250401,004000,1.08165,1.08174,1.08163,1.08168,0,0
EURUSD,5,20250401,004500,1.08168,1.08177,1.08168,1.08172,0,0
EURUSD,5,20250401,005000,1.08168,1.08181,1.08167,1.08181,0,0
EURUSD,5,20250401,005500,1.08181,1.08188,1.08181,1.08188,0,0
EURUSD,5,20250401,010000,1.08186,1.08191,1.08184,1.08187,0,0
EURUSD,5,20250401,010500,1.08188,1.08198,1.08177,1.08178,0,0
EURUSD,5,20250401,011000,1.08178,1.08188,1.08177,1.08182,0,0
EURUSD,5,20250401,011500,1.08181,1.08183,1.08163,1.08163,0,0
EURUSD,5,20250401,012000,1.08163,1.08164,1.08146,1.08148,0,0
EURUSD,5,20250401,012500,1.08148,1.08156,1.08146,1.08156,0,0
EURUSD,5,20250401,013000,1.08156,1.08181,1.08144,1.08149,0,0
EURUSD,5,20250401,013500,1.08149,1.08177,1.08149,1.08172,0,0
EURUSD,5,20250401,014000,1.08172,1.08183,1.08169,1.08182,0,0
EURUSD,5,20250401,014500,1.08182,1.08183,1.08174,1.08177,0,0
EURUSD,5,20250401,015000,1.08177,1.08183,1.08176,1.08177,0,0
EURUSD,5,20250401,015500,1.08177,1.08188,1.08172,1.08177,0,0
EURUSD,5,20250401,020000,1.08182,1.08198,1.08181,1.08195,0,0
EURUSD,5,20250401,020500,1.08195,1.08196,1.08182,1.08189,0,0
EURUSD,5,20250401,021000,1.08189,1.08238,1.08189,1.08231,0,0
EURUSD,5,20250401,021500,1.08233,1.08251,1.08228,1.0825,0,0
EURUSD,5,20250401,022000,1.08249,1.08257,1.08242,1.08254,0,0
EURUSD,5,20250401,022500,1.08254,1.08254,1.08219,1.08219,0,0
EURUSD,5,20250401,023000,1.08219,1.08223,1.08214,1.08218,0,0
EURUSD,5,20250401,023500,1.0822,1.0822,1.08205,1.08217,0,0
EURUSD,5,20250401,024000,1.08217,1.08218,1.08204,1.08217,0,0
EURUSD,5,20250401,024500,1.08217,1.08222,1.08213,1.08219,0,0
EURUSD,5,20250401,025000,1.0822,1.08239,1.08204,1.08239,0,0
EURUSD,5,20250401,025500,1.08245,1.08266,1.08239,1.08254,0,0
EURUSD,5,20250401,030000,1.08254,1.08269,1.08243,1.08248,0,0
EURUSD,5,20250401,030500,1.08246,1.08246,1.08213,1.08214,0,0
EURUSD,5,20250401,031000,1.08214,1.08244,1.08213,1.08243,0,0
EURUSD,5,20250401,031500,1.08243,1.0826,1.08223,1.08236,0,0
EURUSD,5,20250401,032000,1.08236,1.08258,1.08234,1.08254,0,0
EURUSD,5,20250401,032500,1.08254,1.08258,1.08234,1.08248,0,0
EURUSD,5,20250401,033000,1.08251,1.08253,1.08192,1.08207,0,0
EURUSD,5,20250401,033500,1.08207,1.08207,1.08196,1.08205,0,0
EURUSD,5,20250401,034000,1.08204,1.08217,1.08179,1.08217,0,0
EURUSD,5,20250401,034500,1.08222,1.08223,1.08197,1.082,0,0
EURUSD,5,20250401,035000,1.08201,1.08203,1.08172,1.08183,0,0
EURUSD,5,20250401,035500,1.08183,1.08212,1.08174,1.08205,0,0
EURUSD,5,20250401,040000,1.08206,1.0823,1.08202,1.08225,0,0
EURUSD,5,20250401,040500,1.08222,1.08226,1.08204,1.08217,0,0
EURUSD,5,20250401,041000,1.0822,1.08246,1.08215,1.08243,0,0
EURUSD,5,20250401,041500,1.08242,1.08251,1.08235,1.08251,0,0
EURUSD,5,20250401,042000,1.08253,1.08284,1.08253,1.0828,0,0
EURUSD,5,20250401,042500,1.08282,1.08283,1.08257,1.08263,0,0
EURUSD,5,20250401,043000,1.0826,1.0827,1.0825,1.0827,0,0
EURUSD,5,20250401,043500,1.08269,1.08275,1.08243,1.08244,0,0
EURUSD,5,20250401,044000,1.08245,1.08259,1.08243,1.08245,0,0
EURUSD,5,20250401,044500,1.08249,1.08264,1.08243,1.08264,0,0
