<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250321,075000,3029.16,3030.13,3028.63,3028.67,0,0
XAUUSD,5,20250321,075500,3028.66,3030.07,3028.66,3029.77,0,0
XAUUSD,5,20250321,080000,3029.81,3029.81,3028.17,3028.18,0,0
XAUUSD,5,20250321,080500,3028.75,3031.33,3028.75,3031.28,0,0
XAUUSD,5,20250321,081000,3031.14,3032.54,3031.14,3031.66,0,0
XAUUSD,5,20250321,081500,3031.68,3032.08,3030,3030.28,0,0
XAUUSD,5,20250321,082000,3029.86,3031.23,3029.7,3031.23,0,0
XAUUSD,5,20250321,082500,3031.31,3032.4,3031.05,3032.14,0,0
XAUUSD,5,20250321,083000,3032.18,3033.49,3030.84,3031.84,0,0
XAUUSD,5,20250321,083500,3031.84,3032.62,3031.45,3032.21,0,0
XAUUSD,5,20250321,084000,3032.1,3032.1,3030.22,3031.38,0,0
XAUUSD,5,20250321,084500,3031.2,3031.93,3030.63,3030.83,0,0
XAUUSD,5,20250321,085000,3030.76,3030.85,3029.79,3030.35,0,0
XAUUSD,5,20250321,085500,3030.42,3032.09,3029.73,3032.02,0,0
XAUUSD,5,20250321,090000,3031.96,3034.45,3031.54,3033.85,0,0
XAUUSD,5,20250321,090500,3033.7,3034.73,3033.34,3033.96,0,0
XAUUSD,5,20250321,091000,3034,3034,3029.66,3029.93,0,0
XAUUSD,5,20250321,091500,3029.85,3030.23,3027.54,3028.55,0,0
XAUUSD,5,20250321,092000,3028.9,3029.77,3027.8,3029.05,0,0
XAUUSD,5,20250321,092500,3029.04,3029.27,3027.38,3028.8,0,0
XAUUSD,5,20250321,093000,3028.63,3031.85,3028.28,3031.52,0,0
XAUUSD,5,20250321,093500,3031.66,3033.17,3031.66,3032.21,0,0
XAUUSD,5,20250321,094000,3032.27,3033.65,3032.18,3033.65,0,0
XAUUSD,5,20250321,094500,3033.56,3034.06,3032.53,3034.01,0,0
XAUUSD,5,20250321,095000,3033.78,3034.14,3033.38,3034.05,0,0
XAUUSD,5,20250321,095500,3033.97,3034.2,3032.93,3032.97,0,0
XAUUSD,5,20250321,100000,3032.85,3033.17,3031.19,3031.54,0,0
XAUUSD,5,20250321,100500,3031.53,3032.74,3031.16,3031.18,0,0
XAUUSD,5,20250321,101000,3030.84,3030.84,3028.05,3030.08,0,0
